Nombre,Latitud,Longitud
LA PAMPILLA,-16.4138,-71.53453
CHIGUATA,-16.40644,-71.40913
HUASACACHE,-16.45774,-71.56635
LAS SALINAS,-16.3206,-71.1521
LA JOYA,-16.58359,-71.92464
CAMANÁ,-16.64395,-72.70432
PUNTA ATICO,-16.2317,-73.6964
CARAVELI,-15.77568,-73.36259
CHAPARRA,-15.74765,-73.87089
LOMAS,-15.57119,-74.8503
ANDAGUA,-15.5009,-72.3551
APLAO,-16.07288,-72.49226
AYO,-15.6833,-72.2704
CHACHAS,-15.5025,-72.2686
CHOCO,-15.5771,-72.1296
MACHAHUAY,-15.65321,-72.50322
ORCOPAMPA,-15.2639,-72.341
PAMPACOLCA,-15.7167,-72.5683
CABANACONDE,-15.6226,-71.97409
CAYLLOMA,-15.18882,-71.77019
CHIVAY,-15.64163,-71.60169
HUAMBO,-15.73201,-72.10693
HUANCA,-16.03458,-71.88108
MADRIGAL,-15.60999,-71.80654
PAMPA DE MAJES,-16.3357,-72.1525
IMATA,-15.84266,-71.09062
PILLONES,-15.98124,-71.2167
SIBAYO,-15.4892,-71.45696
PORPERA,-15.3142,-71.3064
TISCO,-15.34577,-71.44702
CHICHAS,-15.54811,-72.91831
CHUQUIBAMBA,-15.84602,-72.65065
SALAMANCA,-15.50294,-72.83202
YANAQUIHUA,-15.77649,-72.87584
LA HACIENDITA,-16.9986,-71.6008
PAMPA BLANCA,-17.0716,-71.7245
PULLHUAY,-15.1459,-72.7439
COTAHUASI,-15.21134,-72.89325
PUYCA,-15.06055,-72.69262
UBINAS,-16.3888,-70.8541
CRUCERO ALTO,-15.7643,-70.9113
SAN JOSE DE UZUÑA,-16.58103,-71.32836
TUCTUMPAYA,-16.48827,-71.33463
SAN FRANCISCO,-16.38519,-71.49044
CAYMA,-16.31689,-71.57919
YURA,-16.30271,-71.62395